234971513,第五停車場,嘉南藥理大學,cnu
234970666,嘉大11,嘉南藥理大學,cnu
234970519,請問可以在申請停車證嗎？🛵,嘉南藥理大學,cnu
234969319,撿到一卡通,嘉南藥理大學,cnu
234968828,今晚有人想一起散步嗎,嘉南藥理大學,cnu
234968743,各位住宿帥哥美女,嘉南藥理大學,cnu
234968676,偷我手機架塑膠墊片的人,嘉南藥理大學,cnu
234968610,噪音,嘉南藥理大學,cnu
234968285,我有寒假租屋，有人要嗎？👀,嘉南藥理大學,cnu
234967068,奶奶的慶生會過那麼久嗎？,嘉南藥理大學,cnu
234966518,誰家的狗在亂叫,嘉南藥理大學,cnu
234965128,20小時英文補救班,嘉南藥理大學,cnu
234964667,有人的脫水忘了拿嗎？,嘉南藥理大學,cnu
234964442,有人家的狗狗走失了嗎？,嘉南藥理大學,cnu
234964039,紹宗廣場彈吉他和唱歌的男紙,嘉南藥理大學,cnu
234963722,國際學苑b,嘉南藥理大學,cnu
234963313,好吃的打拋豬飯,嘉南藥理大學,cnu
234963305,合租,嘉南藥理大學,cnu
234963261,想請問學校附近有沒有晚班或是假日班能打工的職缺呢？🐣,嘉南藥理大學,cnu
234962849,巧克力傳情 麻煩幫我解答！,嘉南藥理大學,cnu
234961217,ㄆㄨㄣ街新店,嘉南藥理大學,cnu
234961101,同學不要那麼粗神經,嘉南藥理大學,cnu
234960527,英傑五 五樓小精0是誰？,嘉南藥理大學,cnu
234960418,有誰遺失悠遊卡？,嘉南藥理大學,cnu
234960395,送洗,嘉南藥理大學,cnu
234960128,寒假開放宿舍住宿了🤨,嘉南藥理大學,cnu
234958947,破管別吵,嘉南藥理大學,cnu
234958804,急找藍色柯南卡套鑰匙（找不到圖😥）,嘉南藥理大學,cnu
234958452,操場前的麻煩安靜點好不,嘉南藥理大學,cnu
234958406,麻煩看個時間，拜託別吵了,嘉南藥理大學,cnu
234958322,拍謝我明天早8,嘉南藥理大學,cnu
234957924,民生學院院歌標準？？,嘉南藥理大學,cnu
234957331,宿舍,嘉南藥理大學,cnu
234957073,遺失……（已找到）,嘉南藥理大學,cnu
234956661,地震文,嘉南藥理大學,cnu
234956361,現在有人在拉學生推銷,嘉南藥理大學,cnu
234956299,紹宗前的柱子有隻鴿子,嘉南藥理大學,cnu
234956160,CDE宿舍大廳異性開放,嘉南藥理大學,cnu
234956022,寒假住宿,嘉南藥理大學,cnu
234955954,今晚金牌唱歌,嘉南藥理大學,cnu
234955940,英五三樓短邊尋衣,嘉南藥理大學,cnu
234955687,轉：7-11大嘉瑩門市人員態度,嘉南藥理大學,cnu
234955528,掉在小比比的學生證,嘉南藥理大學,cnu
234955024,有沒有人認識長榮大學健康心理學系的同學,嘉南藥理大學,cnu
234954871,撿到100塊,嘉南藥理大學,cnu
234954510,歧視🤷‍♂️,嘉南藥理大學,cnu
234954482,同學鑰匙,嘉南藥理大學,cnu
234954476,撿到一張宿舍白卡,嘉南藥理大學,cnu
234954312,宿舍網路,嘉南藥理大學,cnu
234954257,Y棟5樓,嘉南藥理大學,cnu
234954118,我的錢包掉了，急....,嘉南藥理大學,cnu
234954070,假日麻將牌咖,嘉南藥理大學,cnu
234953777,這是誰的行動電源？,嘉南藥理大學,cnu
234953776,學生證,嘉南藥理大學,cnu
234953629,第一停車場重機倒車,嘉南藥理大學,cnu
234953510,拜託大家幫我找找我的學生證,嘉南藥理大學,cnu
234953477,學生會活動,嘉南藥理大學,cnu
234953309,騎黑色偉士牌的學長,嘉南藥理大學,cnu
234952847,剛剛大學世界的勁戰男,嘉南藥理大學,cnu
234952778,尋找外套,嘉南藥理大學,cnu
234952614,拾獲藍牙耳機,嘉南藥理大學,cnu
234952590,s棟1樓的早餐店,嘉南藥理大學,cnu
234952533,早餐自動加料,嘉南藥理大學,cnu
234952482,想問有沒有撿到耳機吊飾,嘉南藥理大學,cnu
234952417,G棟808您的鬧鐘,嘉南藥理大學,cnu
234952226,大專院校弱勢學生助學補助（校外租屋）,嘉南藥理大學,cnu
234952137,外語週！你們讓我印象深刻～,嘉南藥理大學,cnu
234951824,明道制服日,嘉南藥理大學,cnu
234951659,大學世界,嘉南藥理大學,cnu
234950931,放在英五六樓曬衣區的衣服不見了,嘉南藥理大學,cnu
234950731,停車退費,嘉南藥理大學,cnu
234949495,我的隨身碟放在K104！！！（急,嘉南藥理大學,cnu
234949327,「徵」我是英雄聯盟校隊隊長,嘉南藥理大學,cnu
234949219,女生是不是真的只喜歡帥哥?,嘉南藥理大學,cnu
234949017,ㄆㄨㄣ街新店,嘉南藥理大學,cnu
234947529,徵求固定的晚上，學校操場慢跑運動夥伴,嘉南藥理大學,cnu
234947404,停車場遺失100塊摳摳,嘉南藥理大學,cnu
234947177,宿舍G棟711的關東煮,嘉南藥理大學,cnu
234946897,學生證,嘉南藥理大學,cnu
234946703,宿舍補助,嘉南藥理大學,cnu
234946602,有人的TATA掉了嗎,嘉南藥理大學,cnu
234946153,希望我能遇到跟你一樣好的室友,嘉南藥理大學,cnu
234945975,謝謝妳🥺,嘉南藥理大學,cnu
234945360,宿舍續住,嘉南藥理大學,cnu
234945255,緊急求助，等等8點要拍照但是忘記租借學士服，，，，,嘉南藥理大學,cnu
234945175,揪人,嘉南藥理大學,cnu
234944492,希望你能遇到更好的室友 呵呵,嘉南藥理大學,cnu
234944145,是誰的衣服跑進來了呀><,嘉南藥理大學,cnu
234942845,系學會裡都是個怎樣的人？,嘉南藥理大學,cnu
234942840,學校外面的麥當勞,嘉南藥理大學,cnu
234942460,學校有寶可夢的朋友ㄇ～～～,嘉南藥理大學,cnu
234941796,宿舍續住,嘉南藥理大學,cnu
234941664,宿舍洗衣間,嘉南藥理大學,cnu
234941381,社團,嘉南藥理大學,cnu
234941059,MT車友好帥,嘉南藥理大學,cnu
234940941,急！求寒假短租,嘉南藥理大學,cnu
234940693,大學世界情侶吵架可以小聲一點嗎,嘉南藥理大學,cnu
234940457,肥嘟嘟佐衛門,嘉南藥理大學,cnu
234940418,生科相關活動,嘉南藥理大學,cnu
234939953,健身房會籍轉讓！！,嘉南藥理大學,cnu
